label,filename,polygon_vertices,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,fourier_0,fourier_1,fourier_2,fourier_3,fourier_4,fourier_5,fourier_6,fourier_7,fourier_8,fourier_9
einhorn,einhorn_108.jpg,14,0.7340631905191146,2.9004872674071396,4.15793986971826,4.435765678105744,8.866826991181314,-5.971484128976354,8.836583111641714,0.9999999999999548,0.6038595164048778,0.9241678158848999,0.6532447996891425,0.1218138568825071,0.36524840644364903,0.09070885399251996,0.08895967147696358,0.09632445202352091,0.08923441824402421
einhorn,einhorn_8.jpg,14,0.7233036882581967,2.625778518814401,4.00782870667261,4.283403402404956,8.538403969122724,-6.665028604364061,-8.591603058991623,0.9999999999999568,0.4814673944759308,0.9013057465706651,0.7050707439722786,0.11998826137322799,0.26084582031433756,0.13487355645316415,0.03707260921797152,0.062392367170839416,0.07591593420500857
einhorn,einhorn_126.jpg,15,0.7117922500573012,2.3745610991580954,4.043008520609063,4.473703415955084,8.75962729910684,-6.0168773310759125,9.015707027604618,0.9999999999999722,0.43277577273282647,0.5752189670426555,0.41755968905332125,0.08532066363173033,0.17827225986191256,0.0842962756405308,0.05686344521234226,0.05619348572807647,0.03600266069747335
einhorn,einhorn_208.jpg,12,0.704310439123845,2.277940302384725,4.094896825597849,4.497726362633031,-9.722877249886624,-6.363712546060117,8.768451536176403,0.9999999999999752,0.36113463446261485,0.5607837797546794,0.33716802432386195,0.07880510707583634,0.14767501799176272,0.05083397450660148,0.055313395901057896,0.028268266176402605,0.018852306240866534
einhorn,einhorn_155.jpg,14,0.7336552297852997,2.9773680651248857,4.000716871515541,4.383333377600897,8.783836464093849,-5.956452530895092,8.645219870432873,0.9999999999999504,0.6519797495064998,0.9762285772082935,0.6782143907702618,0.11458145941356479,0.3956559604147167,0.10269408090939774,0.09696101165388285,0.09236442583023174,0.08186773805069322
einhorn,einhorn_120.jpg,14,0.7317822170582459,2.9557331444400536,3.9922154617461465,4.3680183641227295,8.698381333648483,-5.957455474999807,8.658452972080426,0.9999999999999574,0.6302925308151467,0.9294542784820096,0.651719816307116,0.12016329157601255,0.3595615045530624,0.11537408734832036,0.08863444112781801,0.08831216874360961,0.0709408596317179
einhorn,einhorn_40.jpg,14,0.7383533314773354,3.5278111367685434,3.8034366738693928,4.301776986130012,8.38450451370516,-6.110870332748563,-8.714520870347377,0.9999999999999344,0.8716238447518181,1.2460643892506675,0.7749738786143161,0.2516513703828134,0.42949149481756976,0.13544768989475334,0.1552042309445864,0.11025187096954764,0.039613215399212545
einhorn,einhorn_197.jpg,13,0.7411059398625728,3.2631753678412783,4.0537482350453855,4.409528689317246,8.751969491699866,-6.175044985438362,8.780175795859467,0.9999999999999403,0.7365330507429785,1.1063696997519619,0.7519354177042596,0.18201834196743916,0.4068980976004267,0.14726484593028671,0.10568273401169792,0.12438257144501381,0.06825960989958534
einhorn,einhorn_110.jpg,13,0.7356523879422414,3.1287944614612377,3.8513437576647713,4.271983084017898,8.340859299756906,-6.250645669020418,8.864257110819612,0.9999999999999478,0.6994106914231046,1.1739593500973415,0.7122826345613963,0.16587368599544616,0.38979934039682324,0.10570905178803375,0.13283950236774955,0.08682122184140678,0.05083353640056255
einhorn,einhorn_72.jpg,14,0.7342920326910427,2.9886371579573705,3.8890477755661217,4.4023928532899275,8.927612668477822,-5.9127931221665095,8.566079050903213,0.9999999999999396,0.6620554978420428,1.0396838181752264,0.6461230962864154,0.15113064983148464,0.4078727785769881,0.07846726078532947,0.09451649023900414,0.10285480754394398,0.07789874151873848
